,MentionPopularity,RTPopularity,RTweetDiffusion,nTweet,nRTweet,MentionInternal,MentionExternal,MentionCohesion,RTInternal,RTExternal,RTCohesion
zbattiz,195,142,0.65,200,130,88,92,0.4888888888888889,94,36,0.7230769230769231
fet_eu,193,111,0.45,200,90,36,183,0.1643835616438356,26,64,0.28888888888888886
SimPolProject,176,1262,0.825,200,165,77,47,0.6209677419354839,139,26,0.8424242424242424
filippoaddarii,110,39,0.595,200,119,53,96,0.35570469798657717,26,93,0.2184873949579832
forfinancewatch,97,49,0.525,200,105,4,84,0.045454545454545456,12,93,0.11428571428571428
UNEP_FI,85,23,0.345,200,69,86,143,0.37554585152838427,6,63,0.08695652173913043
AndreaRoventini,82,93,0.675,200,135,27,42,0.391304347826087,84,51,0.6222222222222222
plusvaluetweets,77,85,0.37,200,74,154,204,0.4301675977653631,38,36,0.5135135135135135
indy_johar,76,33,0.9,200,180,2,17,0.10526315789473684,0,180,0.0
FETFlagships,74,17,0.87,200,174,0,27,0.0,10,164,0.05747126436781609
flipparini,69,21,0.65,200,130,37,128,0.22424242424242424,67,63,0.5153846153846153
GuidoCaldarelli,58,47,0.645,200,129,30,191,0.13574660633484162,32,97,0.24806201550387597
Transitionway,56,148,0.375,200,75,197,140,0.5845697329376854,23,52,0.30666666666666664
ISIgrowth,52,74,0.65,200,130,78,70,0.527027027027027,80,50,0.6153846153846154
the_young_fdn,52,63,0.435,200,87,9,148,0.05732484076433121,15,72,0.1724137931034483
SICommunity_EU,46,13,0.765,200,153,7,73,0.0875,14,139,0.0915032679738562
FinexusCenter,44,11,0.0,4,0,9,3,0.75,0,0,0.0
openmaker,42,94,0.615,200,123,5,44,0.10204081632653061,16,107,0.13008130081300814
mercadomagico,42,41,0.555,200,111,42,135,0.23728813559322035,41,70,0.36936936936936937
cosnet_bifi,37,242,0.675,200,135,26,115,0.18439716312056736,30,105,0.2222222222222222
FETFX_EU,37,52,0.46,200,92,27,56,0.3253012048192771,33,59,0.358695652173913
Pierre_Monnin,37,51,0.565,200,113,22,151,0.12716763005780346,16,97,0.1415929203539823
greenwinproject,37,17,0.64,200,128,35,75,0.3181818181818182,27,101,0.2109375
emacampiglio,35,22,0.4824120603015075,199,96,25,107,0.1893939393939394,22,74,0.22916666666666666
FinforTomorrow,35,11,0.32,200,64,9,184,0.046632124352331605,9,55,0.140625
EcologicalEcon,34,15,0.275,200,55,4,32,0.1111111111111111,16,39,0.2909090909090909
mnapoletano1,32,72,0.765,200,153,64,58,0.5245901639344263,120,33,0.7843137254901961
APRC_CF,32,36,0.5,200,100,8,42,0.16,4,96,0.04
IASS_Potsdam,32,17,0.56,200,112,2,141,0.013986013986013986,2,110,0.017857142857142856
MariaBejaCosta1,32,4,0.025477707006369428,157,4,32,211,0.13168724279835392,4,0,1.0
stf18,31,5,0.375,200,75,0,193,0.0,2,73,0.02666666666666667
Gianlucamisu,30,45,0.72,200,144,32,328,0.08888888888888889,6,138,0.041666666666666664
Peveeeric1,30,0,0.69,200,138,30,90,0.25,0,138,0.0
MazzucatoM,27,46,0.675,200,135,0,36,0.0,3,132,0.022222222222222223
vtchakarova,23,30,0.585,200,117,0,66,0.0,27,90,0.23076923076923078
anxosan,21,75,0.85,200,170,2,70,0.027777777777777776,4,166,0.023529411764705882
BluewaterGlobe,21,1,0.505,200,101,21,30,0.4117647058823529,1,100,0.009900990099009901
Etp4H,21,0,0.57,200,114,21,110,0.16030534351145037,0,114,0.0
Beyond_Ratings,20,7,0.095,200,19,30,271,0.09966777408637874,2,17,0.10526315789473684
Complexity_Labs,19,27,0.085,200,17,5,38,0.11627906976744186,10,7,0.5882352941176471
EnviroNews,18,25,0.49246231155778897,199,98,18,337,0.05070422535211268,23,75,0.23469387755102042
RebuildMacro,17,27,0.785,200,157,14,95,0.12844036697247707,31,126,0.19745222929936307
